fid,ID,Distance,RDistance,SP_Dist,SP_RDist,Sinuosity,fid_2,Bach,Name,Order,Easting,Northing,Elevation,Elevation_corr,Width,Depth1,Depth2,Depth3,StreamPart,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name,ID_2
"34","0",84.0590696318672,84.0590696318672,76.1064075452997,76.1064075452997,1.10449398865442,"41",1.1,1upper 05,"5",2645886.744,1150612.401,2663.084,2661.674,"55","18","30","28",,8.03645605,46.5052517,2716.359,Global,0.011,0.013,0.014,0.017,0.134,m,FIX,2024/08/11,2024/08/11,"51",2,2645913.485,1150549.702,2690.003,8.0367982,46.50468587,2743.278,73.257,CH1903+ / LV95 + LN02 height,
"35","1",132.561907659021,132.561907659021,122.47953155084,122.47953155084,1.00760447502877,"27",1,1 Bach 02,"2",2645986.335,1150416.162,2654.416,2653.006,"130","50","28","25",,8.03773397,46.50347963,2707.693,Global,0.011,0.011,0.014,0.015,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.6,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,527.782,CH1903+ / LV95 + LN02 height,
"36","1",132.561907659021,132.561907659021,122.47953155084,122.47953155084,1.04501314931043,"26",1,1 Bach 01,"1",2645976.543,1150423.355,2654.886,2653.476,"150","50","30","25",Inj,8.03760711,46.503545,2708.163,Global,0.013,0.015,0.016,0.019,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.6,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,529.013,CH1903+ / LV95 + LN02 height,
"37","1",132.561907659021,132.561907659021,122.47953155084,122.47953155084,1.00260116090932,"29",1,1 Bach 04,"4",2646008.814,1150396.466,2654.047,2652.637,"155","30","28","28",,8.03802484,46.50330091,2707.323,Global,0.011,0.011,0.013,0.015,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.5,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,523.368,CH1903+ / LV95 + LN02 height,
"38","1",132.561907659021,132.561907659021,122.47953155084,122.47953155084,1.00289209524124,"28",1,1 Bach 03,"3",2645998.6,1150405.528,2654.311,2652.901,"145","45","40","30",,8.03789268,46.50338313,2707.588,Global,0.012,0.011,0.021,0.016,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.7,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,525.271,CH1903+ / LV95 + LN02 height,
"39","1",132.561907659021,132.561907659021,122.47953155084,122.47953155084,1.00927241838289,"33",1,1 Bach 07,"7",2646040.968,1150344.781,2652.183,2650.773,"160","28","30","45",,8.03843858,46.50283378,2705.46,Global,0.01,0.01,0.023,0.015,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.7,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,502.002,CH1903+ / LV95 + LN02 height,
"40","1",132.561907659021,132.561907659021,122.47953155084,122.47953155084,1.0075117461251,"31",1,1 Bach 06,"6",2646034.213,1150370.141,2653.284,2651.874,"195","20","30","28",,8.0383531,46.50306236,2706.561,Global,0.049,0.056,0.077,0.075,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.6,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,517.195,CH1903+ / LV95 + LN02 height,
"41","1",132.561907659021,132.561907659021,122.47953155084,122.47953155084,1.00420397653756,"30",1,1 Bach 05,"5",2646023.101,1150382.492,2653.586,2652.176,"150","30","40","45",WTW,8.03820958,46.50317423,2706.863,Global,0.011,0.014,0.017,0.018,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.8,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,520.305,CH1903+ / LV95 + LN02 height,
"42","1",132.561907659021,132.561907659021,122.47953155084,122.47953155084,1.00750662053038,"32",1,1 Bach 06 v2,"6",2646034.245,1150370.122,2653.242,2651.832,"195","20","30","28",,8.03835352,46.50306219,2706.519,Global,0.015,0.011,0.016,0.018,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.6,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,517.25,CH1903+ / LV95 + LN02 height,
"43","1",132.561907659021,132.561907659021,122.47953155084,122.47953155084,1.06808648198861,"35",1,1 Bach 09,"9",2646046.848,1150325.451,2651.785,2650.375,"210","25","33","38",CTD,8.03851324,46.5026595,2705.062,Global,0.012,0.011,0.014,0.016,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.6,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,491.502,CH1903+ / LV95 + LN02 height,
"44","1",132.561907659021,132.561907659021,122.47953155084,122.47953155084,1.0116789787323,"34",1,1 Bach 08,"8",2646045.402,1150331.158,2651.915,2650.505,"210","30","33","33",,8.03849498,46.50271094,2705.192,Global,0.01,0.01,0.021,0.014,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.6,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,494.731,CH1903+ / LV95 + LN02 height,
"45","1",132.561907659021,132.561907659021,122.47953155084,122.47953155084,1.00668153758465,"36",1,1 Bach 10,"10",2646052.624,1150306.306,2650.486,2649.076,"170","50","55","50",further_down,8.03858658,46.50248689,2703.764,Global,0.012,0.011,0.018,0.016,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.7,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,481.7,CH1903+ / LV95 + LN02 height,
